name,place,owner,content
酒池肉らうど,農学部通りB6,クラウドナイン,飲食/軽食
光学の基礎から最先端まで学ぼう,ガラス棟,SPIE Student Chapter,学術/体験
東大博物マルシェ,図書館広場4,結晶研究会,学術/展示
むら塾マルシェ,伊藤門通りA1,むら塾,飲食/スイーツ
東大POMP五月祭ライブ,赤門総合研究棟,POMP,音楽/バンド
フレーフレー！じゃがいも応援団,医学部広場A4,文科一・二類28組,飲食/軽食
Pentronic Lab. Store,工学部広場E8,Pentronic Lab.,学術/展示
Pentronic Lab. Factory,工学部8号館,Pentronic Lab.,学術/体験
アキネーターカードゲーム　THE NAME,理学部4号館,RESCEUビックバン宇宙国際センター,エンタメ/ゲーム、パズル
9Base,法文1号館(西),Studio 9,音楽/楽器演奏
東大オケ五月祭特別演奏会,安田講堂,音楽部管弦楽団,音楽/オーケストラ
UTPoker May Poker Festival,理学部1号館,UTPoker,エンタメ/ゲーム、パズル
東大華道部~華展2026~,安田講堂,華道部,エンタメ/展示
絶品ポテト,正赤通りD2,Kartoffel Labor,飲食/お食事系
ハイパー・バナナクラシー,赤門通りA1,教育学部比較教育社会学コース,飲食/スイーツ
巨大木質パビリオン,弥生講堂アネックス,生物材料科学専攻木質材料学研究室,学術/展示
フィ科のイカ焼き,農学部通りE2,農学部フィールド科学専修,飲食/お食事系
キカイ×ワールド,工学部2号館,工学部機械工学科・機械情報工学科,エンタメ/工作、体験
君に届けたい焼き,工学部広場D3,文科三類6組,飲食/軽食
プラレーラーズ五月祭2026,工学部3号館,プラレーラーズ,エンタメ/展示
合氣道ミニ体験会,法文1号館(西),心身統一合氣道同好会,学術/体験
君もアナウンサーにならないか？,工学部5号館1階55号講義室,放送研究会,エンタメ/工作、体験
東大台湾タピオカ専門店,銀杏並木D9,台湾留学生会,飲食/飲み物
アイスホッケー部、氷削ります。,中央通りF7,スケート部アイスホッケー部門,飲食/スイーツ
東大グッズショップ,図書館広場7,UTokyo Brand Studio 学生有志,学術/展示
あっとはんど　手芸バザー,工学部5号館,手芸サークルあっとはんど,エンタメ/展示
飯舘村麦酒大学,工学部広場E6,飯舘村ホッププロジェクト,飲食/酒類
五月祭 浴衣の会,弥生講堂,日本舞踊研究会,パフォーマンス/ダンス
オレスマのクレープ,工学部広場G4,オレンジスマッシュ,飲食/スイーツ
Bistro Okonomi,伊藤門横丁3,理科二・三類24組,飲食/お食事系
牛串タクティクス,銀杏並木B9,タクティクス,飲食/軽食
フィロムジカ五月祭演奏会,安田講堂,フィロムジカ交響楽団,音楽/オーケストラ
鳴弦の儀,育徳堂,弓術部,パフォーマンス/スポーツ、武道
チョリパンは飛んでいく,銀杏並木A6,民族音楽愛好会,飲食/軽食
博麗幻奏之儀弐拾玖部,第二食堂,幻想郷,音楽/楽器演奏
揚げて揚げて揚げて揚げて揚げてまいります,図書館通りA7,理科一類21組,飲食/スイーツ
FreeDジャズダンスショー,セントラルステージ,ジャズダンスサークルFreeD,パフォーマンス/ダンス
五月祭茶会,理学部1号館,茶道部,飲食/飲み物
東大アンプラグド路上ライブ,銀杏並木B1,アンプラグド,音楽/楽器演奏
人類と健康~ｻｲﾚﾝﾄｷﾗｰ(塩)に挑む社会医学~,経済学研究科棟,医学系研究科公共健康医学専攻(SPH),学術/講演会、発表
イタリアを歌う,弥生講堂,ベルカント研究ゼミナール,音楽/合唱
鉄道研究展,工学部1号館,鉄道研究会,エンタメ/展示
カリーヴルスト専門店東大赤門前店,伊藤門通りB2,文科一・二類21組,飲食/軽食
五月祭香席,工学部3号館,香道部,学術/体験
あらぐさ Band Live,正門横7,合唱団あらぐさ,音楽/バンド
Sunsetのお好み焼き,工学部横丁3,ソフトバレーボールサークル Sunset,飲食/お食事系
LaVoceアカペラストリートライブ,工学部横丁1,アカペラバンドサークル LaVoce,音楽/バンド
富木合気道を見て体験してみよう,七徳堂,スポーツ合気道クラブ,パフォーマンス/スポーツ、武道
五月祭書道展,工学部2号館,書道研究会,エンタメ/展示
岡野正敬・前NSS局長特別講演会,法文1号館(東),法学部緑会委員会,学術/講演会、発表
大福タルト専門店 くもゐ,図書館通りB6,designing plus nine,飲食/スイーツ
立体日本地図,赤門総合研究棟,地文研究会地理部,学術/展示
MGA五月祭Live 東大編,セントラルステージ,音感有志,音楽/バンド
モルックストラックアウト,農学部グラウンド,モルックサークルNoMistake,エンタメ/ゲーム、パズル
本郷で馬に乗ろう！,農学部グラウンド,馬術部,エンタメ/工作、体験
ダブルダッチの宴,工学部広場ステージ,D-act,パフォーマンス/ショー
三味線こんさーと,弥生講堂アネックス,長唄研究会,音楽/楽器演奏
東大ピアノの会　五月祭大演奏会,工学部11号館,ピアノの会,音楽/楽器演奏
